region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;51;58;51;44;51;62
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;87;52;87;46;87;55
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;58;64;58;65;58;80
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;11;60;11;57;11;57
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;14;47;14;47;14;50
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;18;51;18;42;18;48
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;28;54;28;31;28;49
Kujawsko-Pomorskie;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;13;56;13;34;13;48
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;53;53;53;45;53;56
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;55;57;55;59;55;63
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;44;59;44;53;43;77
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;54;45;54;43;54;56
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;19;69;19;48;19;54
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W STRASZEWIE;Straszewo;6;68;6;55;6;58
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;7;53;7;40;7;48
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;14;50;14;29;13;58
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;39;64;39;58;39;60
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;25;66;25;45;25;65
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;9;63;9;60;9;52
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;16;63;16;37;16;37
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;23;70;23;77;23;57
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;6;65;6;53;6;63
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;18;64;18;56;18;46
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;34;57;34;52;34;49
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;27;53;27;52;27;59
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;12;54;12;55;12;49
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;8;62;8;65;8;49
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;10;65;10;51;10;60
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;18;57;18;51;18;51
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;16;58;16;67;16;56
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;140;63;140;59;138;63
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;122;53;122;59;122;71
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;94;55;94;47;92;57
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 700 - LECIA BRODNICY W BRODNICY;Brodnica;70;66;70;67;71;71
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. WŁADYSŁAWA JAGIEŁŁY W BRODNICY;Brodnica;70;55;70;53;70;63
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KRÓLEWNY ANNY WAZÓWNY W GORCZENICY;Gorczenica;14;61;14;33;14;41
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;20;64;20;53;20;62
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;28;57;28;60;28;67
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Wielkie Leźno;11;56;11;57;11;45
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Jajkowo;18;53;18;52;18;49
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Brzozie;30;65;30;63;30;59
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Górzno;41;57;41;60;41;55
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;25;53;25;51;25;49
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;14;38;14;36;10;47
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;14;60;14;42;14;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Płowęż;9;62;9;66;9;57
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;80;50;79;38;77;51
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;13;66;13;55;12;45
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;40;50;40;54;40;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;19;61;19;61;19;57
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. NOBLISTÓW POLSKICH W ZBICZNIE;Zbiczno;39;58;39;60;39;54
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;60;55;60;49;60;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;15;36;15;49;15;39
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;129;65;129;70;128;81
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARIANA REJEWSKIEGO W BIAŁYCH BŁOTACH;Białe Błota;225;64;225;63;224;76
