region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;34;50,58823529;34;29,88235294;34;53,88235294
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;54;64,42592593;54;29,59259259;54;58,75925926
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;52;72,86538462;52;58,75;52;81,21153846
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;9;73,33333333;9;40,33333333;9;63
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;2;;2;;2;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;8;57,5;8;32,5;7;50,57142857
Kujawsko-Pomorskie;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;8;61,25;8;44,125;8;44,375
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;27;55,48148148;26;31,61538462;27;48,37037037
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;40;59,25;40;46,95;40;63,45
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;38;61,13157895;38;40,5;38;71,55263158
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;35;50,62857143;35;31,31428571;35;53,14285714
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W STRASZEWIE;Straszewo;4;;4;;4;
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;2;;2;;2;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;10;52,2;10;22,4;10;55,3
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;24;63,75;24;45,875;24;66,54166667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;14;57,92857143;14;39,21428571;14;58,07142857
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;11;56,54545455;11;47;11;67,45454545
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;7;45,85714286;7;29,42857143;4;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;15;76,73333333;15;47,13333333;15;72,46666667
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;11;60;11;35,45454545;11;40,09090909
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;8;50,125;8;37,75;8;41,25
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;15;55,73333333;15;28,46666667;15;53,8
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;16;62,875;15;52,33333333;14;76,42857143
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;11;56,72727273;11;45,18181818;11;52,36363636
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;15;70,4;15;55,06666667;15;61,33333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;12;69,08333333;12;57,75;12;64,58333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;15;62,53333333;15;39,66666667;15;59,93333333
