region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;58;59,01724138;58;39,65517241;58;57,0862069
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;107;60,71962617;108;41,48148148;107;54,41121495
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;58;73,32758621;58;59,10344828;58;73,96551724
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;12;75,66666667;12;65,66666667;12;65,83333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;10;69,7;10;47,6;10;65,3
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;10;60,7;10;36,8;10;56
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;15;59,73333333;15;35,73333333;15;43,8
Kujawsko-Pomorskie;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;10;65;10;38,4;10;36
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;38;63,36842105;38;37,47368421;38;54
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;54;61,01851852;54;45,11111111;54;59,2962963
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;60;66,3;60;45,8;60;69,8
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;59;59,08474576;59;37,96610169;59;62,33898305
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;17;63,47058824;17;41,17647059;17;60,76470588
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W STRASZEWIE;Straszewo;9;51,55555556;9;20,88888889;9;42,33333333
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;5;55,8;5;23,2;5;38,6
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;18;57,83333333;18;33,77777778;18;43,72222222
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;41;65,14634146;41;54,82926829;41;63,3902439
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;35;66,31428571;35;58,4;35;65,37142857
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;8;73,5;8;51;7;56,57142857
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;13;64,61538462;13;37,84615385;13;49,46153846
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;28;70,64285714;28;55,57142857;28;54,32142857
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;14;54,21428571;14;30,85714286;14;48,71428571
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;15;70,66666667;15;52,53333333;15;55,53333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;27;66,88888889;27;41,62962963;27;48,55555556
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;23;61,56521739;23;58,08695652;23;52,69565217
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;12;75,08333333;12;64;12;70,33333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;9;82,44444444;9;59,11111111;9;51,33333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;13;77,46153846;13;44,30769231;13;59,23076923
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;19;72,47368421;19;46,10526316;19;62,63157895
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;10;60,1;10;53,6;10;37,9
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;131;63,19083969;132;56,60606061;132;65,54545455
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;77;71,87012987;77;66,38961039;77;75,03896104
