region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;46;51;46;44;47;61
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;61;50;61;30;62;45
Kujawsko-Pomorskie;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;52;70;52;56;52;75
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;5;;5;;5;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;10;46;10;40;10;57
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;11;55;11;23;11;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;19;56;19;33;18;50
Kujawsko-Pomorskie;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;8;;8;;8;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;26;50;26;36;26;56
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;34;56;34;51;34;53
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;46;58;46;45;46;71
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;27;49;27;33;25;61
