region;public;school;city;polish_candidates;polish_average;math_candidates;math_average;english_candidates;english_average
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;15;59,33333333;15;51,46666667;15;71,33333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;11;69,27272727;11;66,90909091;11;70,81818182
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Wielkie Leźno;9;70,22222222;9;72,88888889;9;66,77777778
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Jajkowo;6;51,16666667;6;48,66666667;6;61,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Brzozie;17;50,94117647;17;43,05882353;17;48,23529412
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Górzno;8;41,25;8;41;8;42,875
Kujawsko-Pomorskie;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;7;60,85714286;7;37,71428571;6;34,83333333
Kujawsko-Pomorskie;Nie;SZKOŁA PODSTAWOWA SPSK;Miesiączkowo;2;;2;;1;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. IGNACEGO ŁYSKOWSKIEGO;Górale;17;59,76470588;17;46,58823529;17;46,64705882
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA;Płowęż;6;51;6;29,33333333;6;40
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM.JANUSZA KUSOCIŃSKIEGO;Jabłonowo Pomorskie;31;53,09677419;31;26,96774194;31;43,87096774
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W STRZYGACH;Strzygi;8;70,625;8;68;8;68,625
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KAWALERÓW ORDERU UŚMIECHU W OSIEKU;Osiek;14;54,71428571;14;39,71428571;14;51,71428571
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W POKRZYDOWIE;Pokrzydowo;9;61;9;64;9;73,77777778
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. NOBLISTÓW POLSKICH W ZBICZNIE;Zbiczno;10;42,1;10;40,4;10;43,3
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. PPOR. PIOTRA WYSOCKIEGO W ŚWIEDZIEBNI;Świedziebnia;18;52,66666667;18;25,11111111;18;40,5
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W JANOWIE;Janowo;4;;4;;4;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁOCHOWIE;Łochowo;53;67,83018868;53;61,81132075;53;72,66037736
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARIANA REJEWSKIEGO W BIAŁYCH BŁOTACH;Białe Błota;78;63,33333333;78;51,07692308;78;75,56410256
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W PRZYŁĘKACH;Przyłęki;13;69,30769231;13;63,07692308;13;83,23076923
Kujawsko-Pomorskie;Nie;"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""4 PORY ROKU"" SZKOŁA TWÓRCZA I JĘZYKÓW OBCYCH";Ciele;13;69,84615385;13;54,46153846;13;89,61538462
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W KOZIELCU;Kozielec;6;62,16666667;6;72,66666667;6;61,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KAZIMIERZA GÓRSKIEGO W DOBRCZU;Dobrcz;13;71,92307692;13;69,84615385;13;86,38461538
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. 8-GO BYDGOSKIEGO PUŁKU PIECHOTY W BORÓWNIE;Borówno;12;72,66666667;12;66,66666667;12;83,83333333
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W STRZELCACH GÓRNYCH;Strzelce Górne;8;67,125;8;52,5;8;72,375
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. PORUCZNIKA WACŁAWA TARNOWSKIEGO W WUDZYNIE;Wudzyn;11;44,09090909;11;34,90909091;11;45,72727273
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. STEFANA ŻEROMSKIEGO W KOTOMIERZU;Kotomierz;9;54,33333333;9;40;9;56,66666667
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W DĄBROWIE CHEŁMIŃSKIEJ;Dąbrowa Chełmińska;13;48,07692308;13;32,92307692;11;69,27272727
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MAGDALENY MORTĘSKIEJ W CZARŻU;Czarże;9;48;9;52;9;57,55555556
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W OSTROMECKU;Ostromecko;8;66,875;8;69,5;8;82,5
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 4 W OKRĘGOWYM OŚRODKU WYCHOWAWCZYM W KORONOWIE;Koronowo;8;43,25;8;14;3;
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W SITOWCU;Sitowiec;8;70,125;8;49,5;8;72,75
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W WITOLDOWIE;Witoldowo;13;55,92307692;13;49,23076923;13;66,69230769
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA W BUSZKOWIE;Buszkowo;17;52,70588235;17;42,11764706;17;52,35294118
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA NR 2 IM. JANA PAWŁA II W KORONOWIE;Koronowo;41;53,36585366;41;36,29268293;41;56,29268293
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. OBROŃCÓW WESTERPLATTE W MĄKOWARSKU;Mąkowarsko;13;47,15384615;13;36,61538462;13;47,84615385
Kujawsko-Pomorskie;Tak;ZESPÓŁ SZKÓŁ WE WTELNIE SZKOŁA PODSTAWOWA IM. LEONA WYCZÓŁKOWSKIEGO;Wtelno;17;57,88235294;17;59,29411765;17;60,64705882
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. KPT. Ż. W. TADEUSZA ZIÓŁKOWSKIEGO W WIERZCHUCINIE KRÓLEWSKIM;Wierzchucin Królewski;21;57,61904762;21;32,19047619;21;50,61904762
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ;Nowa Wieś Wielka;9;51,55555556;9;44,44444444;8;76,25
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM.POWSTAŃCÓW WIELKOPOLSKICH;Brzoza;29;57,51724138;29;54,48275862;29;71,34482759
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. POLSKICH OLIMPIJCZYKÓW W OSIELSKU;Osielsko;62;63,40322581;62;60,77419355;62;84,51612903
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W MAKSYMILIANOWIE;Maksymilianowo;8;66,875;8;45,5;8;61,375
Kujawsko-Pomorskie;Tak;SZKOŁA PODSTAWOWA IM. AGATY MRÓZ W NIEMCZU;Niemcz;17;78,23529412;17;77,17647059;17;76,17647059
